SEQ,TIME_STMP,Y,X,FLAG,CATE,VEH_ID,DIR,x,y,BASE_DTTM,CATE_CD,CASE,CHECK_CORRECT,CHECK_CORRECT_H,HEADING,F_HEADING,seg_index,LINK_ID,BF_LINK_ID,AF_LINK_ID
4,2025.2.11 11:03,37.350066,127.103301,0,공사B,HJK,,209152.671,527868.6104,2.03E+11,B,B,1,1,179.764725,359.764725,53089,2060358400,2060033600,2060024401
2,2025.2.20 11:20,37.4661,127.042357,0,공사B,phy,,203747.1292,540742.5163,2.03E+11,B,B,1,,,,,,,
200,2025.2.20 11:21,37.465507,127.0428418,0,공사B,phy,,203790.0472,540676.7207,2.03E+11,B,B,1,,132.646805,312.646805,,,,
3,2025.2.20 11:22,37.465807,127.043156,0,공사B,phy,,203817.828,540710.0294,2.03E+11,B,B,1,,111.852814,291.852814,,,,
22,2025.2.20 11:53,37.511053,127.062318,0,공사A,phy,,205509.6848,545732.6889,2.03E+11,B,A,1,,337.298584,157.298584,,,,
23,2025.2.20 12:05,37.518863,127.094614,0,공사B,phy,,208364.1809,546601.8812,2.03E+11,B,B,1,,65.792603,245.792603,40766,1230086700,,
31,2025.2.20 12:09,37.559333,127.126712,0,공사B,phy,,211195.6956,551096.8971,2.03E+11,B,B,1,,31.965235,211.965235,77730,1240050600,,
33,2025.2.20 12:10,37.560669,127.128299,0,공사A,phy,,211335.7133,551245.3676,2.03E+11,B,A,1,,33.739834,213.739834,77736,1240050600,,
30,2025.2.20 14:44,37.518563,126.912161,0,공사A,phy,,192234.7198,546568.0042,2.03E+11,B,A,1,,217.726959,37.726959,,,,
32,2025.2.20 14:51,37.518408,126.912454,0,공사A,phy,,192260.6061,546550.777,2.03E+11,B,A,1,,80.452019,260.452019,,,,
48,2025.2.20 15:38,37.492937,127.011248,0,행사B,phy,,200994.7031,543720.2819,2.03E+11,C,B,1,,247.824509,67.824509,,,,
20,2025.2.19 11:56,37.50936,127.06319,0,공사A,,,205586.9066,545544.8389,2.03E+11,B,A,1,,354.100006,174.100006,,,,
22,2025.2.19 11:57,37.511879,127.061778,0,공사A,,,205461.8819,545824.3329,2.03E+11,B,A,1,,336.200012,156.200012,,,,
23,2025.2.19 11:57,37.513363,127.061006,0,공사A,,,205393.5214,545988.9935,2.03E+11,B,A,1,,335.200012,155.200012,,,,
36,2025.2.19 13:40,37.615528,127.069555,0,공사A,,,206140.9439,557328.6347,2.03E+11,B,A,1,,255.600006,75.600006,35770,1060066700,,
42,2025.2.19 14:39,37.563563,126.982127,0,차단A,,,198420.9127,551558.9807,2.03E+11,E,A,1,,10.4,190.4,,,,
45,2025.2.19 15:09,37.519785,126.914292,0,공사A,,,192423.2314,546703.4571,2.03E+11,B,A,1,,230.5,50.5,,,,
46,2025.2.19 15:09,37.518509,126.912238,0,공사A,,,192241.5213,546562.0045,2.03E+11,B,A,1,,217.699997,37.699997,,,,
47,2025.2.19 15:10,37.517939,126.910842,0,공사A,,,192118.0499,546498.8578,2.03E+11,B,A,1,,264.799988,84.799988,,,,
49,2025.2.19 15:14,37.518634,126.913238,0,공사A,,,192329.9377,546575.796,2.03E+11,B,A,1,,65.5,245.5,,,,